Date,Value,Percent Stock
2008-06-01,9974,94%
2008-07-01,9162,100%
2008-08-01,9339,100%
2008-09-01,10881,66%
2008-10-01,10542,85%
2008-11-01,9506,100%
2008-12-01,8907,100%
2009-01-01,9500,73%
2009-02-01,8833,71%
2009-03-01,8082,94%
2009-04-01,10624,43%
2009-05-01,12075,33%
2009-06-01,13080,24%
2009-07-01,13332,34%
2009-08-01,14088,23%
2009-09-01,14352,18%
2009-10-01,14386,18%
2009-11-01,14699,12%
2009-12-01,14873,20%
2010-01-01,14909,20%
2010-02-01,15013,27%
2010-03-01,15181,28%
2010-04-01,15412,23%
2010-05-01,15421,22%
2010-06-01,15314,41%
2010-07-01,15306,50%
2010-08-01,15902,43%
2010-09-01,16019,58%
2010-10-01,16545,48%
2010-11-01,16800,49%
2010-12-01,16915,54%
2011-01-01,17288,48%
2011-02-01,17588,49%
2011-03-01,17704,49%
2011-04-01,17891,59%
2011-05-01,18205,53%
2011-06-01,18023,72%
2011-07-01,18516,76%
2011-08-01,17571,96%
2011-09-01,16760,96%
2011-10-01,16286,100%
2011-11-01,17871,100%
2011-12-01,17678,100%
2012-01-01,18119,100%
2012-02-01,19127,100%
2012-03-01,19418,100%
2012-04-01,20093,94%
2012-05-01,20013,87%
2012-06-01,18934,100%
2012-07-01,20006,93%
2012-08-01,20544,87%
2012-09-01,20852,87%
2012-10-01,21355,88%
2012-11-01,21163,88%
2012-12-01,21175,88%
2013-01-01,21772,88%
2013-02-01,23132,57%
2013-03-01,24324,63%
2013-04-01,24777,54%
2013-05-01,25123,46%
2013-06-01,25777,40%
2013-07-01,25740,46%
2013-08-01,26404,35%
2013-09-01,26088,34%
2013-10-01,26262,35%
2013-11-01,26600,36%
2013-12-01,27090,14%
2014-01-01,27906,31%
2014-02-01,28219,38%
2014-03-01,28583,39%
2014-04-01,28826,39%
2014-05-01,28932,40%
2014-06-01,29258,26%
2014-07-01,29793,38%
2014-08-01,29617,45%
2014-09-01,30462,39%
2014-10-01,30316,49%
2014-11-01,31118,44%
2014-12-01,31359,39%
2015-01-01,31410,39%
2015-02-01,31229,39%
2015-03-01,31526,23%
2015-04-01,32351,51%
2015-05-01,34345,45%
2015-06-01,34442,45%
2015-07-01,34717,55%
2015-08-01,35035,65%
2015-09-01,33870,92%
2015-10-01,33361,100%
2015-11-01,37430,70%
2015-12-01,38958,66%
2016-01-01,40355,75%
2016-02-01,38977,100%
2016-03-01,42119,92%
2016-04-01,43992,68%
2016-05-01,45661,64%
2016-06-01,48015,71%
2016-07-01,48141,71%
2016-08-01,49341,62%
2016-09-01,49643,62%
2016-10-01,50034,69%
2016-11-01,51262,76%
2016-12-01,54061,59%
2017-01-01,55360,42%
2017-02-01,56774,47%
2017-03-01,57981,35%
2017-04-01,58319,47%
2017-05-01,58955,56%
2017-06-01,59095,64%
2017-07-01,59849,58%
2017-08-01,60485,54%
2017-09-01,60725,59%
2017-10-01,62188,47%
2017-11-01,63325,54%
2017-12-01,64532,43%
2018-01-01,65416,31%
2018-02-01,67096,15%
2018-03-01,67633,50%
2018-04-01,68677,68%
2018-05-01,68369,68%
2018-06-01,69554,90%
2018-07-01,72931,73%
2018-08-01,75360,58%
