Date,Value,Percent Stock
2008-06-01,9974,69%
2008-07-01,9374,100%
2008-08-01,9882,82%
2008-09-01,9888,0%
2008-10-01,11009,26%
2008-11-01,10979,70%
2008-12-01,10776,12%
2009-01-01,10819,99%
2009-02-01,10699,52%
2009-03-01,9915,100%
2009-04-01,11446,100%
2009-05-01,12109,1%
2009-06-01,13898,23%
2009-07-01,13812,99%
2009-08-01,15286,7%
2009-09-01,15307,0%
2009-10-01,16049,71%
2009-11-01,17139,30%
2009-12-01,17824,14%
2010-01-01,17876,98%
2010-02-01,17607,6%
2010-03-01,20450,16%
2010-04-01,20883,13%
2010-05-01,23509,32%
2010-06-01,23807,79%
2010-07-01,23053,99%
2010-08-01,25082,86%
2010-09-01,27190,69%
2010-10-01,29947,63%
2010-11-01,31525,38%
2010-12-01,31707,23%
2011-01-01,31992,99%
2011-02-01,33546,14%
2011-03-01,39046,17%
2011-04-01,43987,34%
2011-05-01,44819,19%
2011-06-01,44726,2%
2011-07-01,44732,100%
2011-08-01,41538,100%
2011-09-01,39614,100%
2011-10-01,38532,100%
2011-11-01,42633,8%
2011-12-01,42583,100%
2012-01-01,43608,100%
2012-02-01,45952,100%
2012-03-01,49749,43%
2012-04-01,53393,63%
2012-05-01,55575,71%
2012-06-01,53301,100%
2012-07-01,56985,44%
2012-08-01,58639,88%
2012-09-01,63349,67%
2012-10-01,67093,24%
2012-11-01,66944,100%
2012-12-01,67103,100%
2013-01-01,70503,91%
2013-02-01,80905,50%
2013-03-01,86062,60%
2013-04-01,93165,37%
2013-05-01,99724,33%
2013-06-01,101605,40%
2013-07-01,101387,40%
2013-08-01,106317,17%
2013-09-01,106832,67%
2013-10-01,116444,52%
2013-11-01,121314,27%
2013-12-01,124301,10%
2014-01-01,129949,38%
2014-02-01,131147,67%
2014-03-01,134781,40%
2014-04-01,137608,51%
2014-05-01,142877,72%
2014-06-01,150802,32%
2014-07-01,157506,57%
2014-08-01,157913,92%
2014-09-01,167374,26%
2014-10-01,168309,94%
2014-11-01,185266,49%
2014-12-01,187083,57%
2015-01-01,195834,38%
2015-02-01,194718,99%
2015-03-01,199311,99%
2015-04-01,196806,99%
2015-05-01,214833,58%
2015-06-01,226342,71%
2015-07-01,231519,82%
2015-08-01,231273,100%
2015-09-01,218617,100%
2015-10-01,215008,100%
2015-11-01,234297,72%
2015-12-01,232419,100%
2016-01-01,230029,100%
2016-02-01,219454,100%
2016-03-01,228248,100%
2016-04-01,240706,50%
2016-05-01,247709,24%
2016-06-01,248367,100%
2016-07-01,281480,66%
2016-08-01,308990,40%
2016-09-01,333241,36%
2016-10-01,332390,0%
2016-11-01,356785,6%
2016-12-01,364961,72%
2017-01-01,407069,50%
2017-02-01,412246,11%
2017-03-01,417464,55%
2017-04-01,444867,45%
2017-05-01,449224,11%
2017-06-01,458878,41%
2017-07-01,469637,20%
2017-08-01,477710,27%
2017-09-01,477836,99%
2017-10-01,510899,45%
2017-11-01,526491,39%
2017-12-01,536154,5%
2018-01-01,536967,0%
2018-02-01,537026,0%
2018-03-01,553774,27%
2018-04-01,601651,52%
2018-05-01,632305,48%
2018-06-01,683780,58%
2018-07-01,700441,55%
2018-08-01,719838,28%
