Date,Value,Percent Stock
2008-06-01,9974,39%
2008-07-01,9632,100%
2008-08-01,10892,84%
2008-09-01,11141,43%
2008-10-01,10734,100%
2008-11-01,9487,0%
2008-12-01,10909,21%
2009-01-01,10986,99%
2009-02-01,10426,45%
2009-03-01,9761,100%
2009-04-01,11958,72%
2009-05-01,12445,1%
2009-06-01,14171,8%
2009-07-01,14603,80%
2009-08-01,15756,2%
2009-09-01,15766,2%
2009-10-01,15787,99%
2009-11-01,18776,79%
2009-12-01,22289,69%
2010-01-01,25218,59%
2010-02-01,25300,11%
2010-03-01,27775,22%
2010-04-01,28091,95%
2010-05-01,27932,95%
2010-06-01,26635,10%
2010-07-01,26521,100%
2010-08-01,32755,79%
2010-09-01,32607,99%
2010-10-01,33595,99%
2010-11-01,34680,99%
2010-12-01,35185,76%
2011-01-01,36290,99%
2011-02-01,38728,21%
2011-03-01,40857,70%
2011-04-01,41156,1%
2011-05-01,46302,11%
2011-06-01,46266,2%
2011-07-01,46278,100%
2011-08-01,51036,74%
2011-09-01,49253,100%
2011-10-01,47894,100%
2011-11-01,52349,1%
2011-12-01,52343,100%
2012-01-01,53602,100%
2012-02-01,59884,32%
2012-03-01,61640,15%
2012-04-01,66167,60%
2012-05-01,71464,53%
2012-06-01,69246,100%
2012-07-01,75349,28%
2012-08-01,81644,57%
2012-09-01,85929,46%
2012-10-01,87178,27%
2012-11-01,90795,74%
2012-12-01,90902,74%
2013-01-01,93062,75%
2013-02-01,102883,50%
2013-03-01,106954,62%
2013-04-01,112040,33%
2013-05-01,116353,18%
2013-06-01,119342,14%
2013-07-01,121812,72%
2013-08-01,128759,25%
2013-09-01,137461,48%
2013-10-01,144608,42%
2013-11-01,152639,69%
2013-12-01,156778,17%
2014-01-01,164743,47%
2014-02-01,166158,81%
2014-03-01,175599,31%
2014-04-01,179612,24%
2014-05-01,183529,80%
2014-06-01,192398,41%
2014-07-01,199628,37%
2014-08-01,201062,75%
2014-09-01,208418,34%
2014-10-01,210467,90%
2014-11-01,235691,67%
2014-12-01,245779,41%
2015-01-01,260108,45%
2015-02-01,258121,44%
2015-03-01,265988,82%
2015-04-01,264468,86%
2015-05-01,285098,66%
2015-06-01,286327,66%
2015-07-01,286627,95%
2015-08-01,286214,100%
2015-09-01,270382,100%
2015-10-01,265892,100%
2015-11-01,289876,46%
2015-12-01,296506,83%
2016-01-01,293921,100%
2016-02-01,280727,100%
2016-03-01,313052,71%
2016-04-01,319614,44%
2016-05-01,331196,24%
2016-06-01,339430,87%
2016-07-01,356543,45%
2016-08-01,372510,31%
2016-09-01,401703,49%
2016-10-01,405528,7%
2016-11-01,411094,48%
2016-12-01,423278,50%
2017-01-01,429279,51%
2017-02-01,444276,18%
2017-03-01,451457,49%
2017-04-01,448778,48%
2017-05-01,462364,17%
2017-06-01,490378,27%
2017-07-01,514968,35%
2017-08-01,525131,32%
2017-09-01,547088,65%
2017-10-01,579717,49%
2017-11-01,595503,40%
2017-12-01,604144,3%
2018-01-01,648435,10%
2018-02-01,650348,0%
2018-03-01,694142,19%
2018-04-01,702629,60%
2018-05-01,700417,60%
2018-06-01,739904,40%
2018-07-01,751017,52%
2018-08-01,761300,52%
