Date,Value,Percent Stock
2008-06-01,9974,41%
2008-07-01,9614,100%
2008-08-01,9802,100%
2008-09-01,10444,28%
2008-10-01,10191,0%
2008-11-01,10191,0%
2008-12-01,10191,0%
2009-01-01,10193,99%
2009-02-01,9156,0%
2009-03-01,9144,99%
2009-04-01,11259,36%
2009-05-01,11488,1%
2009-06-01,11494,1%
2009-07-01,11490,1%
2009-08-01,11504,1%
2009-09-01,11508,1%
2009-10-01,11563,1%
2009-11-01,11600,1%
2009-12-01,11607,1%
2010-01-01,11610,2%
2010-02-01,11605,1%
2010-03-01,11615,2%
2010-04-01,11624,2%
2010-05-01,11676,2%
2010-06-01,11696,99%
2010-07-01,11230,99%
2010-08-01,12025,99%
2010-09-01,11947,99%
2010-10-01,12301,99%
2010-11-01,12727,2%
2010-12-01,12729,2%
2011-01-01,13022,87%
2011-02-01,13376,0%
2011-03-01,13879,68%
2011-04-01,13948,0%
2011-05-01,13949,0%
2011-06-01,13959,0%
2011-07-01,14062,85%
2011-08-01,15441,67%
2011-09-01,14963,99%
2011-10-01,14552,99%
2011-11-01,15888,0%
2011-12-01,16651,72%
2012-01-01,16943,99%
2012-02-01,17908,2%
2012-03-01,17914,2%
2012-04-01,17921,2%
2012-05-01,21096,9%
2012-06-01,21952,73%
2012-07-01,22783,1%
2012-08-01,22786,1%
2012-09-01,22828,1%
2012-10-01,22832,1%
2012-11-01,22831,1%
2012-12-01,22832,1%
2013-01-01,24680,39%
2013-02-01,25154,0%
2013-03-01,25154,0%
2013-04-01,25155,0%
2013-05-01,25157,0%
2013-06-01,25158,0%
2013-07-01,25157,0%
2013-08-01,25229,0%
2013-09-01,25359,0%
2013-10-01,25360,0%
2013-11-01,25362,0%
2013-12-01,25363,0%
2014-01-01,25434,0%
2014-02-01,25471,0%
2014-03-01,25566,0%
2014-04-01,25568,0%
2014-05-01,26795,65%
2014-06-01,27030,1%
2014-07-01,30655,29%
2014-08-01,30487,0%
2014-09-01,30489,0%
2014-10-01,31749,19%
2014-11-01,31934,0%
2014-12-01,32081,0%
2015-01-01,32081,0%
2015-02-01,33153,82%
2015-03-01,33786,1%
2015-04-01,33784,1%
2015-05-01,33786,1%
2015-06-01,33786,1%
2015-07-01,37768,37%
2015-08-01,37733,0%
2015-09-01,40028,68%
2015-10-01,39602,99%
2015-11-01,43003,11%
2015-12-01,42966,1%
2016-01-01,48105,35%
2016-02-01,47328,100%
2016-03-01,51680,58%
2016-04-01,52593,1%
2016-05-01,52602,1%
2016-06-01,56889,20%
2016-07-01,56917,0%
2016-08-01,56920,0%
2016-09-01,57079,0%
2016-10-01,58392,89%
2016-11-01,59325,14%
2016-12-01,59804,0%
2017-01-01,59804,0%
2017-02-01,59804,0%
2017-03-01,59804,0%
2017-04-01,59850,0%
2017-05-01,59850,0%
2017-06-01,60201,0%
2017-07-01,60282,0%
2017-08-01,60282,0%
2017-09-01,69010,24%
2017-10-01,69535,0%
2017-11-01,76597,45%
2017-12-01,77694,0%
2018-01-01,77700,0%
2018-02-01,77706,0%
2018-03-01,77680,100%
2018-04-01,77400,100%
2018-05-01,86379,55%
2018-06-01,89990,80%
2018-07-01,90988,57%
2018-08-01,92351,0%
