Date,Value,Percent Stock
2008-06-01,9987,100%
2008-07-01,9135,100%
2008-08-01,9311,100%
2008-09-01,9332,100%
2008-10-01,8582,99%
2008-11-01,7626,99%
2008-12-01,7160,99%
2009-01-01,7368,99%
2009-02-01,6689,99%
2009-03-01,5863,99%
2009-04-01,8244,62%
2009-05-01,9433,32%
2009-06-01,10148,22%
2009-07-01,10446,29%
2009-08-01,10935,18%
2009-09-01,11101,15%
2009-10-01,11113,15%
2009-11-01,11155,10%
2009-12-01,11222,11%
2010-01-01,11237,11%
2010-02-01,11262,20%
2010-03-01,11406,13%
2010-04-01,11475,14%
2010-05-01,11474,14%
2010-06-01,11803,32%
2010-07-01,12044,35%
2010-08-01,12385,31%
2010-09-01,12368,51%
2010-10-01,12587,30%
2010-11-01,12988,72%
2010-12-01,13875,59%
2011-01-01,14593,42%
2011-02-01,14927,95%
2011-03-01,16133,70%
2011-04-01,16760,81%
2011-05-01,17657,58%
2011-06-01,17369,99%
2011-07-01,17699,99%
2011-08-01,16417,98%
2011-09-01,15646,98%
2011-10-01,15212,98%
2011-11-01,16643,98%
2011-12-01,16467,98%
2012-01-01,16866,99%
2012-02-01,17782,99%
2012-03-01,18050,99%
2012-04-01,18910,62%
2012-05-01,18733,99%
2012-06-01,17625,99%
2012-07-01,18849,88%
2012-08-01,19146,100%
2012-09-01,20400,80%
2012-10-01,21540,70%
2012-11-01,21392,70%
2012-12-01,21483,82%
2013-01-01,22016,83%
2013-02-01,24241,32%
2013-03-01,26553,34%
2013-04-01,26783,31%
2013-05-01,28226,26%
2013-06-01,29135,23%
2013-07-01,29240,30%
2013-08-01,29983,17%
2013-09-01,30453,21%
2013-10-01,30861,28%
2013-11-01,31169,29%
2013-12-01,31365,13%
2014-01-01,31714,33%
2014-02-01,31542,48%
2014-03-01,32495,39%
2014-04-01,32771,40%
2014-05-01,32890,40%
2014-06-01,33826,25%
2014-07-01,35009,40%
2014-08-01,34794,60%
2014-09-01,35667,36%
2014-10-01,36727,56%
2014-11-01,38686,46%
2014-12-01,38983,47%
2015-01-01,39572,54%
2015-02-01,39728,93%
2015-03-01,42299,61%
2015-04-01,42019,100%
2015-05-01,44716,83%
2015-06-01,46227,71%
2015-07-01,46212,95%
2015-08-01,46132,100%
2015-09-01,43585,100%
2015-10-01,42862,100%
2015-11-01,45675,100%
2015-12-01,45162,100%
2016-01-01,44683,100%
2016-02-01,42609,100%
2016-03-01,44339,100%
2016-04-01,45657,100%
2016-05-01,46471,100%
2016-06-01,47012,100%
2016-07-01,47198,100%
2016-08-01,48744,78%
2016-09-01,50249,60%
2016-10-01,49986,100%
2016-11-01,49276,100%
2016-12-01,56148,36%
2017-01-01,57899,12%
2017-02-01,59305,30%
2017-03-01,60322,16%
2017-04-01,61317,24%
2017-05-01,61301,24%
2017-06-01,61995,29%
2017-07-01,62363,29%
2017-08-01,62652,30%
2017-09-01,69003,44%
2017-10-01,70931,21%
2017-11-01,71055,21%
2017-12-01,71955,16%
2018-01-01,72660,12%
2018-02-01,72898,12%
2018-03-01,74695,35%
2018-04-01,76380,86%
2018-05-01,81234,54%
2018-06-01,84523,69%
2018-07-01,85900,92%
2018-08-01,91098,38%
