Date,Value,Percent Stock
2008-06-01,9974,79%
2008-07-01,9289,100%
2008-08-01,9469,100%
2008-09-01,11023,65%
2008-10-01,11652,44%
2008-11-01,11273,7%
2008-12-01,11901,21%
2009-01-01,11970,100%
2009-02-01,10925,29%
2009-03-01,10474,100%
2009-04-01,13178,72%
2009-05-01,13838,10%
2009-06-01,13881,11%
2009-07-01,14860,40%
2009-08-01,15586,11%
2009-09-01,15640,12%
2009-10-01,15686,48%
2009-11-01,15787,49%
2009-12-01,16135,12%
2010-01-01,16302,45%
2010-02-01,16614,22%
2010-03-01,17164,19%
2010-04-01,17411,45%
2010-05-01,17446,9%
2010-06-01,17404,93%
2010-07-01,16764,93%
2010-08-01,17883,93%
2010-09-01,17764,100%
2010-10-01,18297,100%
2010-11-01,20819,53%
2010-12-01,22440,59%
2011-01-01,23412,89%
2011-02-01,25468,33%
2011-03-01,25842,86%
2011-04-01,26360,39%
2011-05-01,27403,22%
2011-06-01,27901,14%
2011-07-01,28081,89%
2011-08-01,26272,88%
2011-09-01,25188,100%
2011-10-01,24488,100%
2011-11-01,29200,39%
2011-12-01,29745,87%
2012-01-01,30545,96%
2012-02-01,32618,46%
2012-03-01,33895,16%
2012-04-01,34984,33%
2012-05-01,36854,64%
2012-06-01,36137,87%
2012-07-01,38380,22%
2012-08-01,41362,48%
2012-09-01,41689,55%
2012-10-01,43270,20%
2012-11-01,45536,27%
2012-12-01,47826,35%
2013-01-01,49867,77%
2013-02-01,52604,17%
2013-03-01,58244,31%
2013-04-01,58807,18%
2013-05-01,59063,18%
2013-06-01,59252,18%
2013-07-01,61274,22%
2013-08-01,62503,15%
2013-09-01,63267,30%
2013-10-01,63661,31%
2013-11-01,66158,20%
2013-12-01,67013,10%
2014-01-01,67907,17%
2014-02-01,68838,49%
2014-03-01,70673,22%
2014-04-01,73807,35%
2014-05-01,76214,83%
2014-06-01,77385,22%
2014-07-01,79309,74%
2014-08-01,85021,56%
2014-09-01,88875,30%
2014-10-01,89460,71%
2014-11-01,93787,24%
2014-12-01,99732,42%
2015-01-01,101644,21%
2015-02-01,103454,88%
2015-03-01,114204,49%
2015-04-01,121513,43%
2015-05-01,125735,23%
2015-06-01,130290,41%
2015-07-01,135157,76%
2015-08-01,139237,46%
2015-09-01,139334,86%
2015-10-01,137515,99%
2015-11-01,153412,66%
2015-12-01,157586,57%
2016-01-01,163095,76%
2016-02-01,157451,100%
2016-03-01,169839,81%
2016-04-01,176685,34%
2016-05-01,179273,31%
2016-06-01,184255,71%
2016-07-01,189464,29%
2016-08-01,200266,47%
2016-09-01,206084,28%
2016-10-01,209726,89%
2016-11-01,226834,64%
2016-12-01,243212,38%
2017-01-01,247008,14%
2017-02-01,254267,27%
2017-03-01,272774,42%
2017-04-01,282126,63%
2017-05-01,282975,15%
2017-06-01,303857,29%
2017-07-01,304791,29%
2017-08-01,305987,29%
2017-09-01,312120,73%
2017-10-01,344360,53%
2017-11-01,350562,80%
2017-12-01,379253,45%
2018-01-01,394781,29%
2018-02-01,401555,20%
2018-03-01,398882,97%
2018-04-01,397475,97%
2018-05-01,448963,75%
2018-06-01,460867,89%
2018-07-01,466219,83%
2018-08-01,491970,21%
