Date,Value,Percent Stock
2008-06-01,9987,100%
2008-07-01,9135,100%
2008-08-01,9311,100%
2008-09-01,9332,100%
2008-10-01,8582,99%
2008-11-01,7626,99%
2008-12-01,7160,99%
2009-01-01,7368,99%
2009-02-01,6689,99%
2009-03-01,5863,99%
2009-04-01,8310,64%
2009-05-01,9763,40%
2009-06-01,10351,15%
2009-07-01,10787,32%
2009-08-01,11165,3%
2009-09-01,11165,0%
2009-10-01,11172,0%
2009-11-01,11200,0%
2009-12-01,11222,0%
2010-01-01,11222,0%
2010-02-01,11854,11%
2010-03-01,11897,0%
2010-04-01,11896,0%
2010-05-01,11903,0%
2010-06-01,12252,39%
2010-07-01,12378,41%
2010-08-01,13628,34%
2010-09-01,13947,61%
2010-10-01,15024,30%
2010-11-01,15188,79%
2010-12-01,16498,66%
2011-01-01,17722,51%
2011-02-01,18204,93%
2011-03-01,19531,77%
2011-04-01,19699,86%
2011-05-01,20689,68%
2011-06-01,20277,99%
2011-07-01,20657,99%
2011-08-01,19144,99%
2011-09-01,18233,99%
2011-10-01,17720,99%
2011-11-01,19412,99%
2011-12-01,19204,99%
2012-01-01,19676,99%
2012-02-01,20762,99%
2012-03-01,21079,99%
2012-04-01,21991,73%
2012-05-01,21766,99%
2012-06-01,20467,99%
2012-07-01,21861,89%
2012-08-01,22229,99%
2012-09-01,23210,85%
2012-10-01,24123,78%
2012-11-01,23936,78%
2012-12-01,23970,86%
2013-01-01,24603,87%
2013-02-01,25867,41%
2013-03-01,28116,42%
2013-04-01,28396,34%
2013-05-01,28790,27%
2013-06-01,29447,17%
2013-07-01,29600,33%
2013-08-01,30081,0%
2013-09-01,31444,13%
2013-10-01,32691,28%
2013-11-01,33840,25%
2013-12-01,33984,0%
2014-01-01,34846,37%
2014-02-01,35209,58%
2014-03-01,36808,49%
2014-04-01,37195,49%
2014-05-01,38875,52%
2014-06-01,40818,22%
2014-07-01,41355,53%
2014-08-01,42623,67%
2014-09-01,45423,42%
2014-10-01,45368,68%
2014-11-01,47884,57%
2014-12-01,48338,58%
2015-01-01,48899,65%
2015-02-01,48992,92%
2015-03-01,52788,69%
2015-04-01,52381,99%
2015-05-01,55204,86%
2015-06-01,56993,78%
2015-07-01,57111,94%
2015-08-01,57011,99%
2015-09-01,53863,99%
2015-10-01,52970,99%
2015-11-01,56447,99%
2015-12-01,55813,99%
2016-01-01,55222,99%
2016-02-01,52647,99%
2016-03-01,54793,99%
2016-04-01,56427,99%
2016-05-01,57437,99%
2016-06-01,58107,99%
2016-07-01,58332,99%
2016-08-01,59665,84%
2016-09-01,60330,71%
2016-10-01,59997,99%
2016-11-01,59141,99%
2016-12-01,63866,46%
2017-01-01,64570,0%
2017-02-01,65853,36%
2017-03-01,66698,0%
2017-04-01,69140,19%
2017-05-01,71447,23%
2017-06-01,72688,34%
2017-07-01,74077,29%
2017-08-01,74403,30%
2017-09-01,80341,54%
2017-10-01,83587,12%
2017-11-01,90971,18%
2017-12-01,91357,0%
2018-01-01,91603,0%
2018-02-01,91603,0%
2018-03-01,94665,42%
2018-04-01,96404,89%
2018-05-01,101233,65%
2018-06-01,104189,78%
2018-07-01,106061,91%
2018-08-01,110984,48%
