Date,Value,Percent Stock
2008-06-01,9974,70%
2008-07-01,9364,100%
2008-08-01,9546,100%
2008-09-01,9903,84%
2008-10-01,9229,99%
2008-11-01,8194,99%
2008-12-01,7689,99%
2009-01-01,7914,99%
2009-02-01,7179,98%
2009-03-01,6285,98%
2009-04-01,8082,37%
2009-05-01,8227,0%
2009-06-01,8227,0%
2009-07-01,8227,0%
2009-08-01,8227,0%
2009-09-01,8226,0%
2009-10-01,8254,0%
2009-11-01,8291,0%
2009-12-01,8291,0%
2010-01-01,8291,0%
2010-02-01,8291,0%
2010-03-01,8291,0%
2010-04-01,8292,0%
2010-05-01,8319,0%
2010-06-01,8355,0%
2010-07-01,8682,17%
2010-08-01,8778,1%
2010-09-01,9149,47%
2010-10-01,9550,16%
2010-11-01,9751,35%
2010-12-01,10171,58%
2011-01-01,10693,30%
2011-02-01,10974,25%
2011-03-01,11112,30%
2011-04-01,11623,42%
2011-05-01,11674,1%
2011-06-01,11672,99%
2011-07-01,11885,99%
2011-08-01,11039,99%
2011-09-01,10529,99%
2011-10-01,10242,99%
2011-11-01,11184,99%
2011-12-01,11070,99%
2012-01-01,11331,99%
2012-02-01,13745,68%
2012-03-01,15063,41%
2012-04-01,15864,24%
2012-05-01,16089,43%
2012-06-01,15673,100%
2012-07-01,18211,67%
2012-08-01,19184,38%
2012-09-01,19804,63%
2012-10-01,20465,90%
2012-11-01,21203,58%
2012-12-01,22352,61%
2013-01-01,23094,91%
2013-02-01,24221,4%
2013-03-01,28289,8%
2013-04-01,28504,7%
2013-05-01,28544,0%
2013-06-01,28545,0%
2013-07-01,28544,0%
2013-08-01,28561,0%
2013-09-01,28722,0%
2013-10-01,29038,24%
2013-11-01,33171,29%
2013-12-01,33355,0%
2014-01-01,34399,26%
2014-02-01,38080,39%
2014-03-01,38621,40%
2014-04-01,38957,41%
2014-05-01,41689,43%
2014-06-01,41945,23%
2014-07-01,43378,44%
2014-08-01,44201,76%
2014-09-01,45221,1%
2014-10-01,46353,64%
2014-11-01,47299,1%
2014-12-01,53074,6%
2015-01-01,56898,33%
2015-02-01,58727,52%
2015-03-01,61006,59%
2015-04-01,62647,45%
2015-05-01,65520,24%
2015-06-01,65655,0%
2015-07-01,68625,41%
2015-08-01,70821,48%
2015-09-01,68937,100%
2015-10-01,67816,100%
2015-11-01,73375,55%
2015-12-01,76494,73%
2016-01-01,75908,100%
2016-02-01,72506,100%
2016-03-01,75355,100%
2016-04-01,80925,91%
2016-05-01,82177,100%
2016-06-01,83096,100%
2016-07-01,83424,100%
2016-08-01,85737,40%
2016-09-01,90003,73%
2016-10-01,89546,99%
2016-11-01,88314,99%
2016-12-01,98444,47%
2017-01-01,99593,0%
2017-02-01,107399,56%
2017-03-01,109682,0%
2017-04-01,112837,49%
2017-05-01,116949,18%
2017-06-01,117046,100%
2017-07-01,134190,78%
2017-08-01,149873,64%
2017-09-01,150651,93%
2017-10-01,162859,39%
2017-11-01,164131,16%
2017-12-01,164755,0%
2018-01-01,164827,0%
2018-02-01,164827,0%
2018-03-01,172949,18%
2018-04-01,172898,100%
2018-05-01,171649,100%
2018-06-01,197911,77%
2018-07-01,209724,42%
2018-08-01,212049,0%
