Date,Value,Percent Stock
2008-06-01,9987,100%
2008-07-01,9135,100%
2008-08-01,9311,100%
2008-09-01,9578,13%
2008-10-01,10540,38%
2008-11-01,10063,100%
2008-12-01,9516,40%
2009-01-01,9624,100%
2009-02-01,8690,42%
2009-03-01,8171,100%
2009-04-01,9420,100%
2009-05-01,9932,0%
2009-06-01,9933,0%
2009-07-01,9919,100%
2009-08-01,11081,11%
2009-09-01,11120,99%
2009-10-01,11135,99%
2009-11-01,12405,59%
2009-12-01,12812,14%
2010-01-01,12822,99%
2010-02-01,12512,12%
2010-03-01,14097,34%
2010-04-01,14356,14%
2010-05-01,14645,34%
2010-06-01,14309,99%
2010-07-01,13747,99%
2010-08-01,16178,67%
2010-09-01,17154,51%
2010-10-01,18143,40%
2010-11-01,18973,36%
2010-12-01,19010,99%
2011-01-01,21301,71%
2011-02-01,22337,32%
2011-03-01,23004,16%
2011-04-01,23037,16%
2011-05-01,24915,36%
2011-06-01,24794,26%
2011-07-01,25377,68%
2011-08-01,24158,100%
2011-09-01,23027,100%
2011-10-01,22391,100%
2011-11-01,25870,44%
2011-12-01,25739,100%
2012-01-01,26354,100%
2012-02-01,27760,100%
2012-03-01,28165,100%
2012-04-01,31115,86%
2012-05-01,32668,71%
2012-06-01,31276,100%
2012-07-01,32900,100%
2012-08-01,33510,100%
2012-09-01,34067,100%
2012-10-01,35722,13%
2012-11-01,35680,99%
2012-12-01,35736,99%
2013-01-01,36789,99%
2013-02-01,40478,27%
2013-03-01,40549,99%
2013-04-01,45080,67%
2013-05-01,47717,23%
2013-06-01,50453,47%
2013-07-01,51388,32%
2013-08-01,53424,15%
2013-09-01,53908,70%
2013-10-01,59143,52%
2013-11-01,61255,10%
2013-12-01,61365,0%
2014-01-01,66687,17%
2014-02-01,67798,65%
2014-03-01,70054,24%
2014-04-01,70789,19%
2014-05-01,71266,34%
2014-06-01,71607,34%
2014-07-01,78122,45%
2014-08-01,82098,58%
2014-09-01,85157,26%
2014-10-01,86798,50%
2014-11-01,90244,87%
2014-12-01,91570,52%
2015-01-01,91938,27%
2015-02-01,91642,99%
2015-03-01,97147,28%
2015-04-01,99993,81%
2015-05-01,101710,30%
2015-06-01,107481,53%
2015-07-01,112160,43%
2015-08-01,115124,84%
2015-09-01,109963,100%
2015-10-01,108183,100%
2015-11-01,115154,100%
2015-12-01,120335,64%
2016-01-01,119528,100%
2016-02-01,114117,100%
2016-03-01,118635,100%
2016-04-01,122082,100%
2016-05-01,132722,78%
2016-06-01,133871,100%
2016-07-01,136105,88%
2016-08-01,144107,45%
2016-09-01,144581,45%
2016-10-01,144199,99%
2016-11-01,142204,99%
2016-12-01,162646,58%
2017-01-01,166289,94%
2017-02-01,170323,49%
2017-03-01,181809,26%
2017-04-01,185483,40%
2017-05-01,185404,40%
2017-06-01,189233,34%
2017-07-01,192781,47%
2017-08-01,197075,9%
2017-09-01,206756,71%
2017-10-01,233458,57%
2017-11-01,250776,34%
2017-12-01,253125,1%
2018-01-01,272147,5%
2018-02-01,290356,14%
2018-03-01,292395,25%
2018-04-01,295209,61%
2018-05-01,299071,80%
2018-06-01,302230,100%
2018-07-01,303447,100%
2018-08-01,314123,17%
