Date,Value,Percent Stock
2008-06-01,9974,58%
2008-07-01,9468,100%
2008-08-01,9968,71%
2008-09-01,9971,0%
2008-10-01,11033,19%
2008-11-01,11112,59%
2008-12-01,10688,1%
2009-01-01,10693,99%
2009-02-01,10595,42%
2009-03-01,9953,100%
2009-04-01,12598,87%
2009-05-01,13217,2%
2009-06-01,15328,14%
2009-07-01,15255,100%
2009-08-01,16729,2%
2009-09-01,16739,2%
2009-10-01,17940,60%
2009-11-01,18822,23%
2009-12-01,19075,3%
2010-01-01,19665,83%
2010-02-01,19263,0%
2010-03-01,22165,8%
2010-04-01,22266,1%
2010-05-01,24907,24%
2010-06-01,25402,67%
2010-07-01,24761,86%
2010-08-01,26679,74%
2010-09-01,28678,58%
2010-10-01,31219,54%
2010-11-01,32371,30%
2010-12-01,33235,13%
2011-01-01,33881,92%
2011-02-01,35008,3%
2011-03-01,40847,8%
2011-04-01,46139,26%
2011-05-01,46446,9%
2011-06-01,46297,0%
2011-07-01,46285,100%
2011-08-01,42981,100%
2011-09-01,40990,100%
2011-10-01,39871,100%
2011-11-01,43535,0%
2011-12-01,43523,100%
2012-01-01,44572,100%
2012-02-01,54636,76%
2012-03-01,58767,33%
2012-04-01,63244,52%
2012-05-01,66297,59%
2012-06-01,64005,100%
2012-07-01,68371,36%
2012-08-01,72040,73%
2012-09-01,76520,58%
2012-10-01,79615,15%
2012-11-01,79604,99%
2012-12-01,91172,75%
2013-01-01,93198,80%
2013-02-01,104665,42%
2013-03-01,111023,51%
2013-04-01,118247,29%
2013-05-01,124559,26%
2013-06-01,126254,33%
2013-07-01,126117,32%
2013-08-01,129376,6%
2013-09-01,130843,56%
2013-10-01,142902,44%
2013-11-01,148553,18%
2013-12-01,149081,0%
2014-01-01,157350,30%
2014-02-01,159118,56%
2014-03-01,162459,32%
2014-04-01,165682,43%
2014-05-01,172793,61%
2014-06-01,182097,23%
2014-07-01,189517,48%
2014-08-01,189591,79%
2014-09-01,199915,17%
2014-10-01,200712,82%
2014-11-01,216589,40%
2014-12-01,219117,48%
2015-01-01,226076,31%
2015-02-01,224964,100%
2015-03-01,230290,100%
2015-04-01,258655,75%
2015-05-01,280645,49%
2015-06-01,295246,60%
2015-07-01,303243,70%
2015-08-01,308582,89%
2015-09-01,293470,100%
2015-10-01,288666,100%
2015-11-01,310518,61%
2015-12-01,308404,100%
2016-01-01,305231,100%
2016-02-01,291209,100%
2016-03-01,302873,100%
2016-04-01,319594,41%
2016-05-01,323385,15%
2016-06-01,323908,100%
2016-07-01,364734,57%
2016-08-01,393407,32%
2016-09-01,416810,28%
2016-10-01,415895,0%
2016-11-01,415895,0%
2016-12-01,424736,60%
2017-01-01,470390,43%
2017-02-01,470829,0%
2017-03-01,474591,46%
2017-04-01,509226,36%
2017-05-01,509276,0%
2017-06-01,518943,34%
2017-07-01,530801,11%
2017-08-01,545774,18%
2017-09-01,546255,86%
2017-10-01,581790,36%
2017-11-01,598961,31%
2017-12-01,603556,0%
2018-01-01,603630,0%
2018-02-01,604287,0%
2018-03-01,637137,18%
2018-04-01,640394,46%
2018-05-01,669786,39%
2018-06-01,683265,51%
2018-07-01,694260,45%
2018-08-01,706436,20%
