Date,Value,Percent Stock
2008-06-01,9974,29%
2008-07-01,9717,100%
2008-08-01,11175,82%
2008-09-01,11424,34%
2008-10-01,11092,100%
2008-11-01,9929,5%
2008-12-01,11500,16%
2009-01-01,11562,99%
2009-02-01,10854,35%
2009-03-01,10307,100%
2009-04-01,12800,71%
2009-05-01,13388,2%
2009-06-01,15194,10%
2009-07-01,15674,80%
2009-08-01,16892,1%
2009-09-01,19459,7%
2009-10-01,19484,99%
2009-11-01,23003,80%
2009-12-01,27081,69%
2010-01-01,30097,55%
2010-02-01,30094,12%
2010-03-01,32947,17%
2010-04-01,33338,94%
2010-05-01,33153,94%
2010-06-01,31523,11%
2010-07-01,31373,100%
2010-08-01,38620,79%
2010-09-01,38467,99%
2010-10-01,39630,99%
2010-11-01,40910,99%
2010-12-01,41387,73%
2011-01-01,42653,99%
2011-02-01,45306,18%
2011-03-01,48056,67%
2011-04-01,48891,8%
2011-05-01,54706,11%
2011-06-01,54639,8%
2011-07-01,54751,100%
2011-08-01,60389,74%
2011-09-01,58279,100%
2011-10-01,56673,100%
2011-11-01,62753,7%
2011-12-01,62693,100%
2012-01-01,64202,100%
2012-02-01,69916,25%
2012-03-01,71056,14%
2012-04-01,76897,56%
2012-05-01,82020,47%
2012-06-01,79800,100%
2012-07-01,85682,21%
2012-08-01,93912,50%
2012-09-01,98937,37%
2012-10-01,100904,20%
2012-11-01,105511,72%
2012-12-01,105585,77%
2013-01-01,108182,78%
2013-02-01,118045,41%
2013-03-01,123577,56%
2013-04-01,127801,25%
2013-05-01,131033,16%
2013-06-01,131391,16%
2013-07-01,134421,68%
2013-08-01,140088,20%
2013-09-01,152163,38%
2013-10-01,159314,33%
2013-11-01,168244,65%
2013-12-01,173757,14%
2014-01-01,185195,37%
2014-02-01,187292,81%
2014-03-01,196017,24%
2014-04-01,199134,19%
2014-05-01,203552,79%
2014-06-01,211299,32%
2014-07-01,216759,28%
2014-08-01,219297,73%
2014-09-01,225021,26%
2014-10-01,227406,90%
2014-11-01,257825,62%
2014-12-01,269581,33%
2015-01-01,269662,33%
2015-02-01,286822,36%
2015-03-01,294845,82%
2015-04-01,293336,87%
2015-05-01,317831,63%
2015-06-01,320889,59%
2015-07-01,322376,94%
2015-08-01,322098,100%
2015-09-01,304466,100%
2015-10-01,299459,100%
2015-11-01,339449,34%
2015-12-01,347451,84%
2016-01-01,344439,100%
2016-02-01,328988,100%
2016-03-01,372977,67%
2016-04-01,406065,32%
2016-05-01,423700,19%
2016-06-01,433649,87%
2016-07-01,451093,36%
2016-08-01,459654,24%
2016-09-01,503926,41%
2016-10-01,512001,10%
2016-11-01,520812,39%
2016-12-01,533504,41%
2017-01-01,540285,42%
2017-02-01,555905,15%
2017-03-01,565852,38%
2017-04-01,563268,38%
2017-05-01,578344,15%
2017-06-01,581970,22%
2017-07-01,608358,25%
2017-08-01,616641,25%
2017-09-01,619017,63%
2017-10-01,651173,40%
2017-11-01,663039,30%
2017-12-01,671292,9%
2018-01-01,672991,10%
2018-02-01,678171,3%
2018-03-01,685553,16%
2018-04-01,689770,54%
2018-05-01,688227,54%
2018-06-01,717201,31%
2018-07-01,727656,43%
2018-08-01,735901,43%
