Date,Value,Percent Stock
2008-06-01,9974,83%
2008-07-01,9256,100%
2008-08-01,9436,100%
2008-09-01,9675,92%
2008-10-01,8940,100%
2008-11-01,7933,100%
2008-12-01,7440,100%
2009-01-01,7660,100%
2009-02-01,6943,100%
2009-03-01,6072,100%
2009-04-01,8264,53%
2009-05-01,8504,1%
2009-06-01,8500,0%
2009-07-01,9561,12%
2009-08-01,9656,0%
2009-09-01,9656,0%
2009-10-01,9672,0%
2009-11-01,9715,0%
2009-12-01,9715,0%
2010-01-01,9715,0%
2010-02-01,9732,0%
2010-03-01,9732,0%
2010-04-01,9732,0%
2010-05-01,9748,0%
2010-06-01,9791,0%
2010-07-01,10192,48%
2010-08-01,10698,9%
2010-09-01,11351,65%
2010-10-01,12462,45%
2010-11-01,12964,59%
2010-12-01,13607,73%
2011-01-01,14040,59%
2011-02-01,14572,53%
2011-03-01,14676,54%
2011-04-01,15148,64%
2011-05-01,15362,6%
2011-06-01,15318,100%
2011-07-01,15611,100%
2011-08-01,14486,100%
2011-09-01,13808,100%
2011-10-01,13427,100%
2011-11-01,14679,100%
2011-12-01,14526,100%
2012-01-01,14873,100%
2012-02-01,18349,75%
2012-03-01,20878,58%
2012-04-01,23213,49%
2012-05-01,23365,65%
2012-06-01,22474,100%
2012-07-01,24746,81%
2012-08-01,25537,62%
2012-09-01,26158,78%
2012-10-01,26783,97%
2012-11-01,27081,75%
2012-12-01,28015,77%
2013-01-01,28684,98%
2013-02-01,31214,38%
2013-03-01,34832,39%
2013-04-01,35080,42%
2013-05-01,36408,30%
2013-06-01,36764,19%
2013-07-01,37445,34%
2013-08-01,38212,2%
2013-09-01,38327,37%
2013-10-01,38655,52%
2013-11-01,42595,55%
2013-12-01,43087,1%
2014-01-01,43756,53%
2014-02-01,46228,61%
2014-03-01,47136,62%
2014-04-01,47766,62%
2014-05-01,47948,68%
2014-06-01,48494,52%
2014-07-01,50233,65%
2014-08-01,50713,86%
2014-09-01,54762,28%
2014-10-01,55426,78%
2014-11-01,57892,37%
2014-12-01,62877,39%
2015-01-01,65734,58%
2015-02-01,66412,71%
2015-03-01,68486,75%
2015-04-01,69340,67%
2015-05-01,70200,54%
2015-06-01,72697,28%
2015-07-01,74382,65%
2015-08-01,75566,68%
2015-09-01,72721,100%
2015-10-01,71532,100%
2015-11-01,78110,71%
2015-12-01,79571,85%
2016-01-01,78893,100%
2016-02-01,75334,100%
2016-03-01,78314,100%
2016-04-01,80588,100%
2016-05-01,81980,100%
2016-06-01,82905,100%
2016-07-01,83234,100%
2016-08-01,86722,62%
2016-09-01,89240,86%
2016-10-01,88630,99%
2016-11-01,87394,99%
2016-12-01,92950,69%
2017-01-01,94649,1%
2017-02-01,99211,72%
2017-03-01,103332,8%
2017-04-01,104868,68%
2017-05-01,113797,46%
2017-06-01,113971,100%
2017-07-01,125684,87%
2017-08-01,137120,77%
2017-09-01,136349,98%
2017-10-01,147417,62%
2017-11-01,151161,47%
2017-12-01,155110,13%
2018-01-01,155675,0%
2018-02-01,155675,0%
2018-03-01,155737,50%
2018-04-01,155478,100%
2018-05-01,154354,100%
2018-06-01,170234,87%
2018-07-01,177709,64%
2018-08-01,185118,12%
