Date,Value,Percent Stock
2008-06-01,9987,100%
2008-07-01,9135,100%
2008-08-01,9311,100%
2008-09-01,9320,0%
2008-10-01,10881,13%
2008-11-01,10700,100%
2008-12-01,10027,14%
2009-01-01,10059,100%
2009-02-01,9061,16%
2009-03-01,8848,100%
2009-04-01,10251,100%
2009-05-01,10915,3%
2009-06-01,10932,4%
2009-07-01,10922,99%
2009-08-01,12009,2%
2009-09-01,12579,73%
2009-10-01,12577,100%
2009-11-01,13617,36%
2009-12-01,13827,0%
2010-01-01,13850,99%
2010-02-01,13491,0%
2010-03-01,15852,9%
2010-04-01,15905,0%
2010-05-01,16427,7%
2010-06-01,16821,83%
2010-07-01,18733,69%
2010-08-01,21180,42%
2010-09-01,22092,27%
2010-10-01,22638,14%
2010-11-01,22907,9%
2010-12-01,23482,72%
2011-01-01,25909,44%
2011-02-01,26335,1%
2011-03-01,26358,1%
2011-04-01,26361,1%
2011-05-01,28887,11%
2011-06-01,28771,0%
2011-07-01,29953,40%
2011-08-01,29855,75%
2011-09-01,29084,95%
2011-10-01,28307,100%
2011-11-01,32356,20%
2011-12-01,32275,100%
2012-01-01,36765,70%
2012-02-01,38137,99%
2012-03-01,40429,90%
2012-04-01,44178,57%
2012-05-01,46260,45%
2012-06-01,45029,100%
2012-07-01,51190,80%
2012-08-01,52002,99%
2012-09-01,54713,82%
2012-10-01,56003,2%
2012-11-01,56015,100%
2012-12-01,56056,100%
2013-01-01,65509,62%
2013-02-01,67451,1%
2013-03-01,68296,67%
2013-04-01,75262,42%
2013-05-01,76006,0%
2013-06-01,79868,23%
2013-07-01,80341,4%
2013-08-01,80607,0%
2013-09-01,82183,42%
2013-10-01,87505,27%
2013-11-01,88356,0%
2013-12-01,88358,0%
2014-01-01,88358,0%
2014-02-01,90857,38%
2014-03-01,91843,0%
2014-04-01,91842,0%
2014-05-01,94507,5%
2014-06-01,94723,5%
2014-07-01,95113,23%
2014-08-01,102182,31%
2014-09-01,103364,0%
2014-10-01,106125,25%
2014-11-01,113795,55%
2014-12-01,119982,23%
2015-01-01,120000,0%
2015-02-01,119985,100%
2015-03-01,122879,1%
2015-04-01,134272,49%
2015-05-01,135148,0%
2015-06-01,142793,29%
2015-07-01,147294,17%
2015-08-01,149156,54%
2015-09-01,153017,70%
2015-10-01,151271,100%
2015-11-01,166137,84%
2015-12-01,173675,39%
2016-01-01,175651,91%
2016-02-01,168494,90%
2016-03-01,174474,100%
2016-04-01,197218,81%
2016-05-01,206998,52%
2016-06-01,215903,69%
2016-07-01,224538,56%
2016-08-01,233282,19%
2016-09-01,233613,19%
2016-10-01,233392,100%
2016-11-01,230173,100%
2016-12-01,260318,33%
2017-01-01,281351,60%
2017-02-01,293393,22%
2017-03-01,295778,0%
2017-04-01,303899,13%
2017-05-01,303857,13%
2017-06-01,308024,7%
2017-07-01,315108,19%
2017-08-01,316154,1%
2017-09-01,332555,43%
2017-10-01,359752,33%
2017-11-01,366282,8%
2017-12-01,367001,0%
2018-01-01,367765,0%
2018-02-01,367765,0%
2018-03-01,368374,0%
2018-04-01,374775,34%
2018-05-01,377361,52%
2018-06-01,385631,80%
2018-07-01,386861,100%
2018-08-01,397690,1%
